                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1961,                 7.4227,                 4.4945,                  3e-05,                0.00575,                  2e-05,                  1e-05,                 4.1627,                 5.6656,                 4.1609,             0.00018337,             0.00018337,             0.00018337
                      2,                 4.0713,                 6.5828,                 4.2295,                  3e-05,                0.00575,                  2e-05,                  1e-05,                 4.1696,                 5.7073,                  4.169,             0.00037961,             0.00037961,             0.00037961
                      3,                  3.653,                 5.4186,                 3.7812,                  3e-05,                0.00575,                  2e-05,                  1e-05,                 4.2036,                 5.4976,                 4.2128,              0.0005719,              0.0005719,              0.0005719
                      4,                 3.2609,                 4.5167,                 3.2042,                  9e-05,                0.01149,                  5e-05,                  2e-05,                 4.2462,                 5.2323,                 4.2842,             0.00076022,             0.00076022,             0.00076022
                      5,                 3.1181,                 3.9112,                 2.6967,                 0.0001,                0.01149,                  5e-05,                  2e-05,                 4.3076,                 5.4412,                 4.4016,             0.00094458,             0.00094458,             0.00094458
                      6,                 2.9802,                 3.4741,                 2.4739,                  6e-05,                0.00575,                  3e-05,                  1e-05,                 4.2778,                 5.2502,                 4.3716,               0.001125,               0.001125,               0.001125
                      7,                 2.8734,                      3,                 2.3818,                  6e-05,                0.00575,                  3e-05,                  1e-05,                 4.3971,                 5.7206,                 4.5946,              0.0013014,              0.0013014,              0.0013014
                      8,                 2.7217,                 2.7587,                 2.2418,                  6e-05,                0.00575,                  3e-05,                  1e-05,                 4.3042,                 5.2389,                 4.4948,              0.0014739,              0.0014739,              0.0014739
                      9,                  2.667,                 2.5103,                 2.1539,                0.57674,                0.01149,                0.02014,                0.00613,                 3.2874,                 4.1531,                 3.1409,               0.001535,               0.001535,               0.001535
                     10,                 2.5965,                 2.3375,                 2.1364,                0.10191,                 0.3046,                0.12183,                0.03362,                 2.6917,                 3.2631,                 2.4468,               0.001535,               0.001535,               0.001535
                     11,                  2.527,                 2.2194,                 2.0985,                0.43781,                0.39428,                0.30608,                0.09766,                 2.3387,                 2.1835,                 2.2376,              0.0015185,              0.0015185,              0.0015185
                     12,                 2.4699,                 2.0602,                  2.029,                0.54376,                0.36207,                0.41504,                0.12648,                 2.3357,                 2.4301,                 2.1442,               0.001502,               0.001502,               0.001502
                     13,                 2.4231,                 1.9753,                 1.9974,                0.44048,                0.44019,                 0.4306,                0.13849,                 2.3225,                 1.9973,                 2.0926,              0.0014855,              0.0014855,              0.0014855
                     14,                 2.4427,                 1.9387,                 1.9777,                0.41134,                0.41954,                0.38001,                 0.1217,                 2.4254,                 1.9675,                 2.1896,               0.001469,               0.001469,               0.001469
                     15,                 2.3535,                 1.8039,                 1.9317,                0.43746,                0.47438,                0.39037,                0.13332,                 2.2931,                 1.9959,                 2.0567,              0.0014525,              0.0014525,              0.0014525
                     16,                  2.335,                 1.7926,                 1.9374,                0.38438,                0.46552,                0.33498,                0.10442,                 2.3064,                 1.9948,                 2.0778,               0.001436,               0.001436,               0.001436
                     17,                 2.3147,                 1.7305,                 1.8973,                0.60236,                0.51149,                0.54808,                0.19608,                 2.2635,                 1.6318,                 1.9476,              0.0014195,              0.0014195,              0.0014195
                     18,                 2.2884,                  1.693,                 1.8711,                0.59033,                0.55614,                0.58476,                0.22626,                 2.1519,                 1.7895,                 1.9715,              0.0014029,              0.0014029,              0.0014029
                     19,                 2.2648,                 1.6422,                 1.8369,                0.55775,                0.64646,                0.57487,                0.20652,                  2.184,                 1.6243,                 1.9587,              0.0013864,              0.0013864,              0.0013864
                     20,                  2.254,                 1.6501,                 1.8645,                0.52928,                0.60535,                0.56579,                0.21003,                 2.1793,                 1.6428,                 1.9413,              0.0013699,              0.0013699,              0.0013699
                     21,                 2.2337,                 1.6329,                 1.8356,                0.65372,                0.62172,                0.61984,                0.20967,                  2.238,                  1.694,                 2.0587,              0.0013534,              0.0013534,              0.0013534
                     22,                 2.2157,                 1.6166,                 1.8533,                0.57056,                 0.5655,                0.54099,                0.20529,                 2.1665,                 1.6815,                 1.9352,              0.0013369,              0.0013369,              0.0013369
                     23,                 2.2195,                 1.5771,                 1.8023,                0.61033,                0.63793,                0.60495,                0.21157,                 2.2885,                 1.6176,                 2.0753,              0.0013204,              0.0013204,              0.0013204
                     24,                 2.2388,                 1.5716,                 1.8095,                0.65147,                0.61494,                0.64337,                0.22576,                 2.1717,                 1.5969,                 1.9495,              0.0013039,              0.0013039,              0.0013039
                     25,                 2.1406,                 1.5417,                 1.7918,                0.67688,                 0.6092,                0.63478,                0.21576,                 2.2668,                 1.5786,                 2.0464,              0.0012874,              0.0012874,              0.0012874
                     26,                  2.181,                  1.525,                 1.7862,                0.68375,                0.56267,                0.61649,                0.21771,                 2.2415,                 1.5865,                 1.9993,              0.0012709,              0.0012709,              0.0012709
                     27,                 2.1334,                 1.5053,                 1.7755,                 0.6645,                0.61211,                0.63796,                0.22919,                 2.1993,                 1.5467,                 2.0135,              0.0012544,              0.0012544,              0.0012544
                     28,                 2.1141,                 1.4833,                  1.794,                0.65047,                0.56897,                0.60584,                0.19875,                 2.3028,                 1.6777,                 2.1125,              0.0012379,              0.0012379,              0.0012379
